"Player","Position"
"Oliver Burke","FW"
"Oliver McBurnie","FW"
"Oliver Norwood","DM"
"Oliver Skipp","DM"
"Olivier Giroud","FW"
"Ollie Watkins","FW"
"Ondrej Duda","AM"
"Onel Hernández","LW"
"Orel Mangala","DM"
"Orestis Karnezis","GK"
"Oriol Romeu","DM"
"Ørjan Nyland","GK"
"Oskar Buur","WB"
"Oumar Niasse","FW"
"Owen Otasowie","RW"
"Ozan Kabak","CB"
"Ozan Tufan","CM"
"Pablo Fornals","LW"
"Pablo Hernández","CM"
"Pablo Marí","CB"
"Pablo Zabaleta","RB"
"Pape Souaré","LB"
"Pascal Groß","CM"
"Pascal Struijk","CB"
"Patrice Evra","WB"
"Patrick Bamford","FW"
"Patrick Cutrone","FW"
"Patrick Roberts","AM"
"Patrick van Aanholt","LB"
"Patson Daka","FW"
"Paul Dummett","CB"
"Paul Pogba","CM"
"Paulo Gazzaniga","GK"
"Pedro","RW"
"Pedro Neto","LW"
"Pedro Obiang","DM"
"Pepe Reina","GK"
"Per Mertesacker","CB"
"Percy Tau","RW"
"Pervis Estupiñán","LB"
"Peter Crouch","FW"
"Petr Čech","GK"
"Phil Bardsley","RB"
"Phil Foden","LW"
"Phil Jagielka","CB"
"Phil Jones","CB"
"Philip Billing","CM"
"Philippe Coutinho","AM"
"Pierre-Emerick Aubameyang","FW"
"Pierre Højbjerg","DM"
"Pierre Lees-Melou","CM"
"Pontus Jansson","CB"
"Przemysław Płacheta","RW"
"Rachid Ghezzal","RW"
"Rafael Camacho","RB"
"Ragnar Klavan","CB"
"Raheem Sterling","LW"
"Rajiv van La Parra","LW"
"Ralf Fährmann","GK"
"Ramadan Sobhi","LW"
"Ramiro Funes Mori","CB"
"Raphael Dias Belloli","RM"
"Raphaël Varane","CB"
"Rasmus Nissen","RB"
"Raúl Jiménez","FW"
"Ravel Morrison","CM"
"Rayan Aït Nouri","WB"
"Reda Khadra","RW"
"Reece James","WB"
"Reece Oxford","AM"
"Reiss Nelson","RW"
"Rekeem Harper","CM"
"Renato Sanches","CM"
"Rhian Brewster","FW"
"Rhys Healey","AM"
"Rhys Williams","CB"
"Ricardo Pereira","RB"
"Richairo Živković","FW"
"Richarlison","FW"
"Rico Henry","WB"
"Rico Lewis","RB"
"Riyad Mahrez","RW"
"Rob Elliot","GK"
"Rob Holding","CB"
"Robbie Brady","LM"
"Robert Sánchez","GK"
"Robert Snodgrass","RM"
"Roberto","GK"
"Roberto Firmino","FW"
"Roberto Pereyra","LM"
"Robin Koch","CB"
"Robin Olsen","GK"
"Rodri","DM"
"Rodrigo","AM"
"Rodrigo Bentancur","DM"
"Rolando Aarons","RW"
"Romain Perraud","LB"
"Romain Saïss","CB"
"Romaine Sawyers","DM"
"Romelu Lukaku","FW"
"Roméo Lavia","DM"
"Roque Mesa","DM"
"Ross Barkley","CM"
"Rúben Dias","CB"
"Ruben Loftus-Cheek","DM"
"Rúben Neves","DM"
"Rúben Vinagre","WB"
"Rui Patrício","GK"
"Rúnar Alex Rúnarsson","GK"
"Ryan Babel","LW"
"Ryan Bennett","CB"
